author_name,COMMITER_HASH,T_api_design,T_bad_practice,T_brain_overload,T_cert,T_clumsy,T_confusing,T_convention,T_cwe,T_design,T_duplicate,T_html5,T_misra,T_NOT_DEFINIED,T_obsolete,T_performance,T_pitfall,T_psr2,T_redundant,T_suspicious,T_unused
Matt Mullenweg,8068b213e12b0c68eebda0fa43b23a48ec24caeb,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,eaa329b3fd8d48d0aeb9acf01468b05632e1d412,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,603b8be83e6a23cc2afd3ef0d372ae128042f80b,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
Mike Little,a924253139e959625fbb7a6744e3013a2a70d67f,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
Matt Mullenweg,43d0f68960daacba4af3b73fe0785d8a4b71d402,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,609da4d3e7e9eb56118276f37bee652cbf57aed3,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,25de9bee0758d7e78ace1c7139db84aaa8d0a22d,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,6f4c146d1cfc6990e02cba72df88e04ea9ea5d5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mike Little,be0a2d2cf75b0c660bfd7ea32133e5628fa49863,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,17a798e8a1d04e4987680497a020b964e17e72e3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mike Little,d35293bf39112cf21c2e64c772731b0bc78106ae,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Mike Little,67d98d79de2693ce159d4532ff72f704b80e5ab9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mike Little,135fd02cad399d1e727404fc8da561c93be87330,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Little,8daebf1b28aa21ab2ebe84992c2bfac3a9b16efb,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,64a6d3806d9ed5e32066c830f066398372a085d0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,fd6427527cd704cee88b8020848c1733d3aa3ea0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Donncha O Caoimh,768d490acd6823c131e8b8259766a756d9bfe924,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,0aa56e5042c8802f07bd58aa51241164a9cab6f2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Mike Little,a91d44f19a9f09501d7cba2f027f8f2b95fb4b80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mike Little,5d240a5e5f2efab107b3ebb44fe5b7e6021d6188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Dougal Campbell,9b94f75e32d65575286886d6395a297dffc83e33,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
Dougal Campbell,52f9b145a923ae8fd2eb205b01b6aed8cd74fb68,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,89f418812e1fd360ef7310bffdbfca80968d4717,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Mike Little,4efb6bb23a03751e5151fe0cdfff6f343fa41d9d,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Mike Little,bee8734f213ec5818e039c4c1f7e533d402c6484,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Matt Mullenweg,a363114013991c3e0703743a337fe209c0f401a7,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,8f1c8285550658004dab2bd956caf14b290ff03e,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,fecf7f1d53601cb22b447f796588300c5e7cf305,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Matt Mullenweg,74e328860e2f17ca7be0c0ad328a3c3baaf3aa94,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,c44db805c6d068404a9318a914fa3fd4d12425d7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,11879dd7d476fd3e7ba5405ca18a3ce59a6cb784,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,4f5140a93bf025e2c88e8ddcdb2d6f1aacc7e381,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Matt Mullenweg,6360f2e3a4e3bd93d4da5020db7e4343bc9625a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matt Mullenweg,49ece891d7934cea5c3964afa4f2df61a8b3a48e,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
