ID,CS,SQI
715,1836,9714
716,1836,9715
717,1836,9715
718,1836,9715
719,1836,9715
720,1836,9715
721,1836,9715
722,1836,9715
723,1836,9715
724,1838,9725
725,1837,9718
726,1837,9718
727,1837,9718
728,1837,9718
729,1837,9718
730,1837,9718
731,1837,9718
732,1838,9720
733,1838,9720
734,1839,9725
735,1838,9720
736,1838,9720
737,1839,9725
738,1839,9725
739,1839,9725
740,1839,9725
741,1852,9787
742,1852,9787
743,1852,9787
744,1858,9799
745,1870,9898
746,1870,9898
747,1875,9930
748,1875,9930
749,1875,9930
750,1875,9930
751,1875,9930
752,1875,9935
753,1875,9935
754,1880,9994
755,1880,9994
756,1880,9994
757,1882,10001
758,1880,9988
759,1884,10017
760,1883,10011
761,1883,10011
762,1884,10016
763,1886,10026
764,1886,10026
765,1886,10026
766,1886,10026
767,1886,10026
768,1885,10020
769,1885,10020
770,1886,10027
771,1886,10024
772,1887,10032
773,1886,10027
774,1886,10027
775,1886,10027
776,1886,10027
777,1886,10027
778,1886,10031
779,1886,10031
780,1887,10045
781,1887,10045
782,1887,10045
783,1887,10045
784,1887,10045
785,1887,10045
786,1887,10045
787,1887,10045
788,1888,10053
789,1888,10053
790,1888,10053
791,1888,10053
792,1840,9759
793,1840,9759
794,1840,9759
795,1840,9763
796,1840,9763
797,1840,9769
798,1862,9928
799,1860,9922
800,1864,9932
801,1864,9896
802,1864,9896
803,1864,9896
804,1864,9926
805,1865,9938
806,1865,9938
807,1865,9908
808,1865,9908
809,1865,9908
810,1865,9908
811,1862,9870
812,1862,9864
813,1862,9864
814,1863,9871
815,1862,9869
816,1868,9887
817,1868,9887
818,1868,9887
819,1868,9887
820,1868,9887
821,1868,9887
822,1868,9887
823,1868,9887
824,1868,9887
825,1868,9887
826,1868,9887
827,1868,9887
828,1868,9887
829,1868,9887
830,1868,9887
831,1873,9922
832,1873,9922
833,1873,9922
834,1874,9924
835,1874,9924
836,1876,9949
837,1878,9954
838,1878,9954
839,1878,9954
840,1878,9954
841,1879,9962
842,1879,9962
843,1879,9962
844,1879,9962
845,1878,9960
846,1878,9960
847,1879,9968
848,1880,9982
849,1880,9982
850,1878,9970
851,1879,9975
